stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
735,3,odd-primary image J,Z/3,184,0,k=(2p-2)t-1,exact in all dimensions
735,5,odd-primary image J,Z/5,92,0,k=(2p-2)t-1,exact in all dimensions
735,17,odd-primary image J,Z/17,23,0,k=(2p-2)t-1,exact in all dimensions
735,47,odd-primary image J,Z/47,8,0,k=(2p-2)t-1,exact in all dimensions
736,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
737,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
738,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
739,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
739,3,odd-primary image J,Z/3,185,0,k=(2p-2)t-1,exact in all dimensions
739,11,odd-primary image J,Z/11,37,0,k=(2p-2)t-1,exact in all dimensions
743,2,2-primary image-J cyclic summand,Z/16,93,0,"k=8t-1, t odd*2^m",exact
743,3,odd-primary image J,Z/9,186,1,k=(2p-2)t-1,exact in all dimensions
743,5,odd-primary image J,Z/5,93,0,k=(2p-2)t-1,exact in all dimensions
743,7,odd-primary image J,Z/7,62,0,k=(2p-2)t-1,exact in all dimensions
743,13,odd-primary image J,Z/13,31,0,k=(2p-2)t-1,exact in all dimensions
743,373,odd-primary image J,Z/373,1,0,k=(2p-2)t-1,exact in all dimensions
744,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
745,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
746,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
747,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
747,3,odd-primary image J,Z/3,187,0,k=(2p-2)t-1,exact in all dimensions
747,23,odd-primary image J,Z/23,17,0,k=(2p-2)t-1,exact in all dimensions
751,2,2-primary image-J cyclic summand,Z/32,94,1,"k=8t-1, t odd*2^m",exact
751,3,odd-primary image J,Z/3,188,0,k=(2p-2)t-1,exact in all dimensions
751,5,odd-primary image J,Z/5,94,0,k=(2p-2)t-1,exact in all dimensions
752,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
753,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
754,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
755,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
755,3,odd-primary image J,Z/81,189,3,k=(2p-2)t-1,exact in all dimensions
755,7,odd-primary image J,Z/49,63,1,k=(2p-2)t-1,exact in all dimensions
755,19,odd-primary image J,Z/19,21,0,k=(2p-2)t-1,exact in all dimensions
755,43,odd-primary image J,Z/43,9,0,k=(2p-2)t-1,exact in all dimensions
755,127,odd-primary image J,Z/127,3,0,k=(2p-2)t-1,exact in all dimensions
755,379,odd-primary image J,Z/379,1,0,k=(2p-2)t-1,exact in all dimensions
759,2,2-primary image-J cyclic summand,Z/16,95,0,"k=8t-1, t odd*2^m",exact
759,3,odd-primary image J,Z/3,190,0,k=(2p-2)t-1,exact in all dimensions
759,5,odd-primary image J,Z/25,95,1,k=(2p-2)t-1,exact in all dimensions
759,11,odd-primary image J,Z/11,38,0,k=(2p-2)t-1,exact in all dimensions
759,191,odd-primary image J,Z/191,2,0,k=(2p-2)t-1,exact in all dimensions
760,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
761,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
762,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
763,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
763,3,odd-primary image J,Z/3,191,0,k=(2p-2)t-1,exact in all dimensions
763,383,odd-primary image J,Z/383,1,0,k=(2p-2)t-1,exact in all dimensions
767,2,2-primary image-J cyclic summand,Z/512,96,5,"k=8t-1, t odd*2^m",exact
767,3,odd-primary image J,Z/9,192,1,k=(2p-2)t-1,exact in all dimensions
767,5,odd-primary image J,Z/5,96,0,k=(2p-2)t-1,exact in all dimensions
767,7,odd-primary image J,Z/7,64,0,k=(2p-2)t-1,exact in all dimensions
767,13,odd-primary image J,Z/13,32,0,k=(2p-2)t-1,exact in all dimensions
767,17,odd-primary image J,Z/17,24,0,k=(2p-2)t-1,exact in all dimensions
