stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
895,449,odd-primary image J,Z/449,1,0,k=(2p-2)t-1,exact in all dimensions
896,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
897,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
898,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
899,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
899,3,odd-primary image J,Z/27,225,2,k=(2p-2)t-1,exact in all dimensions
899,7,odd-primary image J,Z/7,75,0,k=(2p-2)t-1,exact in all dimensions
899,11,odd-primary image J,Z/11,45,0,k=(2p-2)t-1,exact in all dimensions
899,19,odd-primary image J,Z/19,25,0,k=(2p-2)t-1,exact in all dimensions
899,31,odd-primary image J,Z/31,15,0,k=(2p-2)t-1,exact in all dimensions
899,151,odd-primary image J,Z/151,3,0,k=(2p-2)t-1,exact in all dimensions
903,2,2-primary image-J cyclic summand,Z/16,113,0,"k=8t-1, t odd*2^m",exact
903,3,odd-primary image J,Z/3,226,0,k=(2p-2)t-1,exact in all dimensions
903,5,odd-primary image J,Z/5,113,0,k=(2p-2)t-1,exact in all dimensions
903,227,odd-primary image J,Z/227,2,0,k=(2p-2)t-1,exact in all dimensions
904,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
905,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
906,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
907,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
907,3,odd-primary image J,Z/3,227,0,k=(2p-2)t-1,exact in all dimensions
911,2,2-primary image-J cyclic summand,Z/32,114,1,"k=8t-1, t odd*2^m",exact
911,3,odd-primary image J,Z/9,228,1,k=(2p-2)t-1,exact in all dimensions
911,5,odd-primary image J,Z/5,114,0,k=(2p-2)t-1,exact in all dimensions
911,7,odd-primary image J,Z/7,76,0,k=(2p-2)t-1,exact in all dimensions
911,13,odd-primary image J,Z/13,38,0,k=(2p-2)t-1,exact in all dimensions
911,229,odd-primary image J,Z/229,2,0,k=(2p-2)t-1,exact in all dimensions
911,457,odd-primary image J,Z/457,1,0,k=(2p-2)t-1,exact in all dimensions
912,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
913,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
914,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
915,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
915,3,odd-primary image J,Z/3,229,0,k=(2p-2)t-1,exact in all dimensions
919,2,2-primary image-J cyclic summand,Z/16,115,0,"k=8t-1, t odd*2^m",exact
919,3,odd-primary image J,Z/3,230,0,k=(2p-2)t-1,exact in all dimensions
919,5,odd-primary image J,Z/25,115,1,k=(2p-2)t-1,exact in all dimensions
919,11,odd-primary image J,Z/11,46,0,k=(2p-2)t-1,exact in all dimensions
